 DEPT ,GR ,SP ,CAL ,AC , CNL ,DEN,LLD, LLS ,POR,VSH,Sw,PERM,Sg
2598.89,133.707,44.78,21.656,228.681,25.679,2.495,63.946,61.605,0.09393939393939382,0.8836214285714286,0.2976669081848624,0.0010234302347351995,0.5968870528540986
2599.015,132.793,44.989,21.74,221.381,25.385,2.596,68.081,65.629,0.032727272727272626,0.8770928571428572,0.8280607954580446,4.327573253193047e-05,0.05305447726922824
2599.14,133.202,45.249,21.927,216.708,26.678,2.675,68.251,65.816,0.0,0.8800142857142857,1.0,0.0,0.0
2599.265,135.334,45.606,22.162,214.831,29.198,2.661,64.666,62.358,0.0,0.8952428571428571,1.0,0.0,0.0
2599.39,140.295,45.977,22.37,215.945,32.697,2.603,59.452,57.302,0.02848484848484831,0.9306785714285714,1.0,2.8533610086512328e-05,0.0
2599.515,146.582,46.293,22.51,219.927,35.821,2.56,54.937,52.903,0.05454545454545446,0.9755857142857143,0.5530876575411869,0.0002003506135737531,0.4238297450562156
2599.64,151.472,46.548,22.543,224.233,36.405,2.54,52.376,50.369,0.0666666666666666,1.0,0.4634576949170797,0.00036579789666209305,0.5365423050829203
2599.765,153.756,46.737,22.488,227.025,34.714,2.519,51.521,49.491,0.07939393939393927,1.0,0.3923787766133036,0.000617841442002239,0.6076212233866964
2599.89,154.444,46.751,22.465,228.159,33.125,2.482,50.774,48.757,0.10181818181818164,1.0,0.30820449991930093,0.0013031397538284522,0.691795500080699
2600.015,154.393,46.624,22.756,226.349,32.708,2.456,48.314,46.427,0.11757575757575756,1.0,0.2736092142979471,0.0020066347933300273,0.7263907857020528
2600.14,155.198,46.427,23.369,221.57,33.239,2.451,44.365,42.681,0.12060606060606052,1.0,0.2783528209807917,0.0021658200891340323,0.7216471790192083
2600.265,158.932,46.261,23.949,221.412,34.683,2.442,40.617,39.106,0.1260606060606059,1.0,0.2783246617499233,0.0024731653507492615,0.7216753382500767
2600.39,165.326,46.095,24.109,230.951,37.082,2.404,38.91,37.458,0.1490909090909091,1.0,0.24043806482601787,0.004091367300182728,0.7595619351739822
2600.515,169.202,46.028,23.996,239.774,38.074,2.355,39.251,37.753,0.17878787878787875,1.0,0.19962805137515557,0.00705552274779904,0.8003719486248444
2600.64,167.295,46.088,23.96,238.969,35.923,2.349,41.047,39.451,0.18242424242424227,1.0,0.19132060260705758,0.007494844647543331,0.8086793973929425
2600.765,160.148,46.097,24.324,236.622,33.003,2.392,42.774,41.14,0.15636363636363637,1.0,0.21865494715159392,0.004719785550639545,0.781345052848406
2600.89,151.294,46.026,25.011,232.604,32.53,2.443,42.7,41.151,0.12545454545454537,1.0,0.2727625006927793,0.0024376659153518606,0.7272374993072207
2601.015,142.6,45.842,25.935,224.032,35.073,2.433,40.235,38.867,0.13151515151515158,0.9471428571428571,0.2680446909166908,0.0028082925641134027,0.6860496813776814
2601.14,134.49,45.616,26.936,218.186,39.863,2.368,36.898,35.692,0.17090909090909093,0.8892142857142857,0.2153864730724654,0.006163259778686777,0.692762098356106
2601.265,127.365,45.326,27.607,219.115,45.174,2.295,34.556,33.411,0.21515151515151515,0.8383214285714286,0.17679861586871432,0.012295557005280502,0.6963082023131039
2601.39,122.625,44.934,27.463,224.99,50.265,2.258,34.106,32.901,0.23757575757575752,0.8044642857142857,0.16116379504693776,0.016554701317154117,0.6897550361218934
2601.515,121.95,44.46,26.617,231.197,52.747,2.26,35.155,33.811,0.23636363636363644,0.7996428571428572,0.15955513590562037,0.016302603630427338,0.6874448640943797
2601.64,125.317,43.94,25.72,231.423,49.773,2.29,36.976,35.469,0.21818181818181812,0.8236928571428571,0.16854135515795735,0.01282243926872025,0.6936185149719127
2601.765,130.727,43.342,25.368,229.049,41.976,2.318,38.82,37.179,0.20121212121212112,0.8623357142857143,0.17836231362130067,0.010057207245739015,0.7116731236081366
2601.89,136.038,42.7,25.296,227.643,35.145,2.324,40.029,38.285,0.19757575757575763,0.9002714285714286,0.17888090192455858,0.009521731892265517,0.7410944746988182
2602.015,140.624,42.159,25.108,224.918,31.946,2.305,40.449,38.611,0.20909090909090894,0.9330285714285714,0.1681496457456704,0.011285490348851205,0.7788820425660179
2602.14,142.891,41.84,24.738,222.504,31.497,2.282,40.648,38.691,0.22303030303030297,0.9492214285714285,0.15725394045203905,0.013696405472265066,0.8032926482925498
2602.265,141.886,41.713,24.348,224.32,31.362,2.267,41.625,39.5,0.23212121212121214,0.9420428571428571,0.14931142804204697,0.015440432828780963,0.8061845113518924
2602.39,137.996,41.664,23.993,233.067,30.789,2.255,43.751,41.402,0.2393939393939394,0.9142571428571429,0.14121403376007477,0.016937699959840558,0.7935694294433884
2602.515,133.408,41.652,23.637,242.116,29.35,2.24,46.659,44.051,0.2484848484848483,0.8814857142857142,0.13173991421404924,0.018941515278623696,0.7791948044006693
2602.64,129.157,41.54,23.335,243.186,26.998,2.228,49.642,46.79,0.2557575757575756,0.8511214285714287,0.12408859300985321,0.020653825401585786,0.765109658072398
2602.765,125.023,41.232,23.206,238.908,24.465,2.246,51.993,48.985,0.24484848484848482,0.8215928571428571,0.12665290128371648,0.018122046640605963,0.7386226744738592
2602.89,122.135,40.887,23.278,233.678,23.316,2.302,53.035,50.004,0.21090909090909085,0.8009642857142858,0.1455822461939266,0.01158246190091919,0.6973604810788008
2603.015,121.515,40.597,23.507,225.396,23.87,2.387,52.826,49.878,0.15939393939393934,0.7965357142857142,0.19301423256483685,0.004999543989361349,0.6359524557468514
2603.14,122.771,40.425,23.774,218.25,25.749,2.447,51.83,49.016,0.12303030303030295,0.8055071428571429,0.2524540277840911,0.0022990650648236563,0.5769816302245669
2603.265,124.266,40.384,23.941,217.059,28.068,2.44,50.737,48.07,0.12727272727272726,0.8161857142857143,0.2466534869073907,0.0025451948316962078,0.5929267728328691
2603.39,125.857,40.408,23.949,219.824,30.236,2.38,49.659,47.142,0.16363636363636366,0.82755,0.19391267495528075,0.0054094665664913616,0.6618564159538102
2603.515,128.873,40.497,23.814,223.332,31.507,2.328,48.137,45.788,0.1951515151515152,0.8490928571428571,0.16514809345850823,0.009175521634740086,0.7133945212601065
2603.64,132.117,40.482,23.741,225.59,31.343,2.306,45.677,43.53,0.2084848484848484,0.8722642857142856,0.15869444237987892,0.011187639823738169,0.7402008043733677
2603.765,133.096,40.538,23.882,224.081,30.435,2.306,41.935,40.052,0.2084848484848484,0.8792571428571428,0.16562358470194666,0.011187639823738169,0.7388066144322524
2603.89,130.492,40.808,24.184,222.169,31.134,2.308,36.897,35.331,0.20727272727272733,0.8606571428571428,0.1776017792083585,0.010993638868019044,0.7119373376747583
2604.015,126.997,41.218,24.411,224.659,34.472,2.304,31.374,30.117,0.20969696969696977,0.8356928571428571,0.19037411677811913,0.011383909770768266,0.679773450321448
